date,k18,k21,k22,traditional
2010-07-10,2715,3050,3190,2110
2010-06-23,2800,3140,3290,2180
2010-06-04,2715,3050,3190,2110
2010-05-14,2635,2955,3095,2055
2010-04-28,2550,2860,2995,1990
2010-03-06,2475,2775,2905,1970
2009-12-24,2400,2690,2820,1900
2009-12-12,2480,2785,2915,1970
2009-12-04,2565,2875,3010,2015
2009-11-25,2480,2785,2915,1970
2009-11-18,2400,2690,2820,1900
2009-11-09,2325,2610,2730,1820
2009-10-10,2240,2515,2630,1750
2009-09-07,2125,2400,2515,1650
2009-07-01,2045,2315,2425,1610
2009-06-22,1980,2240,2345,1550
2009-06-03,2040,2325,2430,1600
2009-02-12,1980,2240,2345,1550
2009-02-11,1910,2160,2260,1500
2008-12-21,1825,2060,2160,1450
2008-11-04,1740,1970,2060,1415
2008-10-25,1825,2060,2160,1500
2008-09-25,1915,2145,2245,1550
2008-09-05,1840,2060,2160,1550
2008-08-21,1920,2155,2255,1600
2008-08-18,1954,2198,2303,1600
2008-07-16,2005,2250,2355,1600
2008-05-21,1920,2155,2255,1600
2008-05-06,1840,2060,2160,1550
2008-04-05,1920,2155,2255,1600
2008-03-06,2005,2250,2355,1625
2008-02-27,1920,2155,2255,1600
2008-01-31,1855,2080,2180,1558
2008-01-08,1755,1970,2060,1558
2007-11-08,1690,1896,1986,1558
2007-10-25,1650,1855,1945,1543
2007-09-27,1550,1735,1820,1457
2007-09-03,1505,1690,1770,1457
2007-08-02,1457,1641,1718,1457
2007-07-26,1500,1690,1770,1500
2007-04-19,1398,1632,1709,1457
2007-03-07,1326,1547,1620,1372
